OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,763.77
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,243.45
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5625
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,219564.85
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,280.28
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13865.3
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,865.32
2018 HON. A. DONALD MCEACHIN,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2576.78
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,609
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4595.49
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6225
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,240844.45
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21657.99
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24016.94
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,846.9
2018 HON. A. DREW FERGUSON IV,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15227.18
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,456
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,975.22
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6580
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,280956.51
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,551.14
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34211.43
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7645.2
2018 HON. ADAM B. SCHIFF,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9746.84
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,360
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1510.85
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7305
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,231133.34
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2842.65
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22937.51
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1723.25
2018 HON. ADAM KINZINGER,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13340.55
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1176
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,903.47
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5960.9
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,239400.89
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,582.14
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17439.32
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,707.58
2018 HON. ADAM SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11006.52
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,735
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5085.44
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5980
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,257913.14
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,161.95
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25062.64
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4034.41
2018 HON. ADRIAN SMITH,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27072.75
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2911.48
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,280.05
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23415
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,277545.34
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3730.67
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45991.27
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9504.99
2018 HON. ADRIANO ESPAILLAT,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9193.4
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1420.5
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,962.38
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31399
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,212925.28
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1020.25
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43240.11
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9180.26
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,0
2018 HON. AL GREEN,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30615.52
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3608.49
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,19117.77
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,218786.05
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25753.1
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18805.56
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4222.64
2018 HON. AL LAWSON  JR.,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16104.61
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,891
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,907.21
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6630
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,261386.9
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2395.7
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30209.82
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5202.86
2018 HON. ALAN S. LOWENTHAL,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12227.3
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1973.48
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,287.1
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11405
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,253977.75
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,242.5
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14442.06
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2909.02
2018 HON. ALBIO SIRES,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6194.38
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588.45
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,268.17
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11291.04
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,256377.72
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,36.5
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24976.93
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3720.52
2018 HON. ALCEE L. HASTINGS,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11821.73
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1043.21
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5838.81
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,169711.14
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1286.63
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16994.76
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2271.54
2018 HON. ALEXANDER X. MOONEY,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16007.21
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1054.8
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,377.46
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5607.55
